#,RT [min],Area,Int. Type,I,S/N,Chromatogram,Max. m/z,FWHM [min]
27,14.3,12.3957,Chromatogram,9,1682.4,"UV Chromatogram, 254 nm",,0.1
28,14.6,6.2154,Chromatogram,9,1071.5,"UV Chromatogram, 254 nm",,0.1
29,14.7,5.9015,Chromatogram,8,533.8,"UV Chromatogram, 254 nm",,0.2
30,15,19.9804,Chromatogram,12,3433.1,"UV Chromatogram, 254 nm",,0.1
31,15.4,7.9812,Chromatogram,10,1280,"UV Chromatogram, 254 nm",,0.1
32,15.5,47.4798,Chromatogram,22,11040.7,"UV Chromatogram, 254 nm",,0.1
33,16.1,11.5744,Chromatogram,12,1899.1,"UV Chromatogram, 254 nm",,0.1
34,16.2,42.8669,Chromatogram,23,10448.8,"UV Chromatogram, 254 nm",,0.1
35,16.5,15.0235,Chromatogram,13,2633.2,"UV Chromatogram, 254 nm",,0.1
36,16.5,12.0823,Chromatogram,14,2922.9,"UV Chromatogram, 254 nm",,0.1
37,16.7,18.9728,Chromatogram,18,5030.5,"UV Chromatogram, 254 nm",,0
38,16.8,216.6841,Chromatogram,79,52170.4,"UV Chromatogram, 254 nm",,0.1
39,16.9,78.7989,Chromatogram,35,18430.3,"UV Chromatogram, 254 nm",,0.1
40,17.1,24.8908,Chromatogram,19,6166.1,"UV Chromatogram, 254 nm",,0.1
41,17.3,33.7073,Chromatogram,18,5854.1,"UV Chromatogram, 254 nm",,0.1
42,17.5,213.049,Chromatogram,72,47504.7,"UV Chromatogram, 254 nm",,0.1
43,17.7,9.6474,Chromatogram,15,1742.4,"UV Chromatogram, 254 nm",,0
44,17.9,266.5708,Chromatogram,93,62091.8,"UV Chromatogram, 254 nm",,0.1
45,18.2,38.8929,Chromatogram,22,7308.1,"UV Chromatogram, 254 nm",,0.1
46,18.3,13.3193,Chromatogram,17,3367.8,"UV Chromatogram, 254 nm",,0
47,18.5,380.1875,Chromatogram,137,88672.5,"UV Chromatogram, 254 nm",,0.1
48,18.6,85.4511,Chromatogram,50,17723.6,"UV Chromatogram, 254 nm",,0.1
49,18.7,12.7919,Chromatogram,25,4015.4,"UV Chromatogram, 254 nm",,0
50,18.9,5.3132,Chromatogram,17,1794.6,"UV Chromatogram, 254 nm",,0
51,18.9,10.9642,Chromatogram,28,4054,"UV Chromatogram, 254 nm",,0
52,19,115.9036,Chromatogram,74,33978.8,"UV Chromatogram, 254 nm",,0
53,19.1,111.9852,Chromatogram,69,28971,"UV Chromatogram, 254 nm",,0
54,19.2,6.2926,Chromatogram,23,2174.7,"UV Chromatogram, 254 nm",,0
55,19.3,397.5014,Chromatogram,133,88592.6,"UV Chromatogram, 254 nm",,0.1
56,19.5,47.7817,Chromatogram,29,8757.2,"UV Chromatogram, 254 nm",,0.1
57,19.6,15.395,Chromatogram,29,4712.8,"UV Chromatogram, 254 nm",,0
58,19.7,227.0416,Chromatogram,133,69685.6,"UV Chromatogram, 254 nm",,0
59,19.8,49.5464,Chromatogram,70,17644.5,"UV Chromatogram, 254 nm",,0
60,20,7.2081,Chromatogram,25,1960.8,"UV Chromatogram, 254 nm",,0
61,20.1,140.2327,Chromatogram,57,26844.9,"UV Chromatogram, 254 nm",,0.1
62,20.2,13.3576,Chromatogram,28,3483.3,"UV Chromatogram, 254 nm",,0
63,20.4,31.2471,Chromatogram,36,9063.1,"UV Chromatogram, 254 nm",,0
64,20.5,7.4047,Chromatogram,26,2429.1,"UV Chromatogram, 254 nm",,0
65,20.6,35.3711,Chromatogram,34,8385.1,"UV Chromatogram, 254 nm",,0
66,20.9,32.3418,Chromatogram,33,7581.9,"UV Chromatogram, 254 nm",,0.1
67,21,6.0453,Chromatogram,26,1371.8,"UV Chromatogram, 254 nm",,0.1
68,21.1,40.9747,Chromatogram,38,10907.9,"UV Chromatogram, 254 nm",,0
69,21.6,97.9017,Chromatogram,23,3266.6,"UV Chromatogram, 254 nm",,0.3
