#,RT [min],Area,Int. Type,I,S/N,Chromatogram,Max. m/z,FWHM [min]
1,1.8,67.8333,Chromatogram,8,9263.1,"UV Chromatogram, 254 nm",,0.1
2,2,216.1692,Chromatogram,,2755.1,"UV Chromatogram, 254 nm",,1.4
3,3.8,42.5531,Chromatogram,1,1136.8,"UV Chromatogram, 254 nm",,0.4
4,4.2,13.1364,Chromatogram,1,676.2,"UV Chromatogram, 254 nm",,0.3
5,4.6,9.0695,Chromatogram,1,448.4,"UV Chromatogram, 254 nm",,0.2
6,5.1,7.1271,Chromatogram,1,375.4,"UV Chromatogram, 254 nm",,0.2
7,5.3,6.1443,Chromatogram,1,617,"UV Chromatogram, 254 nm",,0.2
8,5.7,18.1852,Chromatogram,1,645.5,"UV Chromatogram, 254 nm",,0.4
9,6.1,270.0011,Chromatogram,42,32582.9,"UV Chromatogram, 254 nm",,0.1
10,9.1,6.0859,Chromatogram,3,1267.3,"UV Chromatogram, 254 nm",,0.1
11,9.8,10.1241,Chromatogram,3,475,"UV Chromatogram, 254 nm",,0.2
12,10.8,24.5788,Chromatogram,11,5929.1,"UV Chromatogram, 254 nm",,0.1
13,11.2,48.1314,Chromatogram,27,13075,"UV Chromatogram, 254 nm",,0
14,11.3,6.6642,Chromatogram,15,2492.5,"UV Chromatogram, 254 nm",,0
15,11.5,7639.3975,Chromatogram,846,652686,"UV Chromatogram, 254 nm",,0.1
16,11.9,76.2229,Chromatogram,31,20575.6,"UV Chromatogram, 254 nm",,0
17,12.1,20.3211,Chromatogram,11,4963.6,"UV Chromatogram, 254 nm",,0
18,12.2,11.813,Chromatogram,8,2304.2,"UV Chromatogram, 254 nm",,0.1
19,12.5,15.761,Chromatogram,10,3780,"UV Chromatogram, 254 nm",,0.1
20,12.7,9.1491,Chromatogram,10,2595.7,"UV Chromatogram, 254 nm",,0
21,12.8,56.0553,Chromatogram,25,14320.3,"UV Chromatogram, 254 nm",,0
22,13,160.0636,Chromatogram,55,38703.2,"UV Chromatogram, 254 nm",,0.1
23,13.2,8.2598,Chromatogram,7,1230.6,"UV Chromatogram, 254 nm",,0.1
24,13.5,7.1269,Chromatogram,8,1442.2,"UV Chromatogram, 254 nm",,0.1
25,13.7,5.1071,Chromatogram,7,826.8,"UV Chromatogram, 254 nm",,0.1
26,13.9,309.6219,Chromatogram,87,62445.5,"UV Chromatogram, 254 nm",,0.1
