,Unnamed: 0,Product SMILES,empirical formula,monoisotopic peak,MA,Match,m_z,Retention times,Base Peaks,#,RT [min],Area,Int. Type,I,S/N,Chromatogram,Max. m/z,FWHM [min],Abundance
0,13,C=CCN(C(=O)c1ccccc1)C(C(=O)NC(C)(C)C)c1ccc(CO)o1,C21H26N2O4,371.1970823251201,17,True,371.1984,11.46972,198374.0,10,11.5,17.1203,Chromatogram,20.0,5463.4,"UV Chromatogram, 254 nm",,0.0,1.0560823571888
1,12,C=CCN(C(=O)c1ccccc1)C(C(=O)NC1CCCCC1)c1ccc(CO)o1,C23H28N2O4,397.21273238958,18,True,397.2164,12.38503,127677.0,14,12.4,20.5413,Chromatogram,11.0,5073.4,"UV Chromatogram, 254 nm",,0.1,1.2671100695503172
2,7,C=CCN(C(=O)c1ccccc1)C(/C=C/c1ccccc1)C(=O)NC(C)(C)C,C24H28N2O2,377.22290315044006,15,True,377.2457,12.47657,180320.0,14,12.4,20.5413,Chromatogram,11.0,5073.4,"UV Chromatogram, 254 nm",,0.1,1.2671100695503172
3,17,C=CCN(C(=O)C1CCCCC1)C(C(=O)NC(C)(C)C)c1ccc(CO)o1,C21H32N2O4,377.2440325185,19,True,377.2457,12.47657,180320.0,14,12.4,20.5413,Chromatogram,11.0,5073.4,"UV Chromatogram, 254 nm",,0.1,1.2671100695503172
4,15,C=CCN(C(=O)CCCCC)C(C(=O)NC(C)(C)C)c1ccc(CO)o1,C20H32N2O4,365.2440325185,19,True,365.2487,13.03408,330832.0,18,13.1,10.8013,Chromatogram,8.0,2205.6,"UV Chromatogram, 254 nm",,0.1,0.6662886961503821
5,6,C=CCN(C(=O)c1ccccc1)C(/C=C/c1ccccc1)C(=O)NC1CCCCC1,C26H30N2O2,403.2385532149,16,True,403.2624,13.62487,121655.0,19,13.5,9.9903,Chromatogram,8.0,1628.0,"UV Chromatogram, 254 nm",,0.1,0.6162613723488064
6,14,C=CCN(C(=O)CCCCC)C(C(=O)NC1CCCCC1)c1ccc(CO)o1,C22H34N2O4,391.25968258296,17,True,391.2627,13.93275,187156.0,20,13.8,439.2153,Chromatogram,123.0,96941.3,"UV Chromatogram, 254 nm",,0.1,27.093422973743802
7,37,CC(C)(C)NC(=O)C(c1ccc(CO)o1)N(Cc1ccccc1)C(=O)c1ccccc1,C25H28N2O4,421.21273238958,17,True,421.2149,15.40558,252905.0,24,15.4,54.813,Chromatogram,27.0,14576.2,"UV Chromatogram, 254 nm",,0.0,3.381193217676659
8,36,O=C(NC1CCCCC1)C(c1ccc(CO)o1)N(Cc1ccccc1)C(=O)c1ccccc1,C27H30N2O4,447.22838245404,18,True,447.2318,16.13778,230899.0,26,16.1,54.3302,Chromatogram,26.0,14039.8,"UV Chromatogram, 254 nm",,0.1,3.3514112300917005
9,42,N#Cc1ccc(C(C(=O)NC2CCCCC2)N(Cc2ccccc2)C(=O)c2ccccc2)cc1,C29H29N3O2,452.2338021871,16,True,452.2382,18.4593,253196.0,38,18.5,479.8929,Chromatogram,172.0,121242.1,"UV Chromatogram, 254 nm",,0.1,29.60266029392996
10,30,O=C(NC1CCCCC1)C(/C=C/c1ccccc1)N(Cc1ccccc1)C(=O)c1ccccc1,C30H32N2O2,453.25420327936,17,True,453.2571,19.74075,163439.0,47,19.7,310.3782,Chromatogram,175.0,100566.8,"UV Chromatogram, 254 nm",,0.0,19.14598114963037
11,34,O=C(NC1CCCCC1)C(/C=C/c1ccccc1)N(Cc1ccccc1)C(=O)C1CCCCC1,C30H38N2O2,459.30115347274,18,True,459.268,19.82395,286271.0,48,19.8,60.8995,Chromatogram,87.0,23311.7,"UV Chromatogram, 254 nm",,0.0,3.75664489007899
12,16,C=CCN(C(=O)C1CCCCC1)C(C(=O)NC1CCCCC1)c1ccc(CO)o1,C23H34N2O4,403.25968258296,18,True,403.2978,20.33985,117449.0,52,20.3,95.249,Chromatogram,59.0,27709.1,"UV Chromatogram, 254 nm",,0.0,5.875527206875815
13,40,O=C(NC1CCCCC1)C(c1ccc(CO)o1)N(Cc1ccccc1)C(=O)C1CCCCC1,C27H36N2O4,453.27533264742,19,True,453.3155,20.84742,212821.0,56,20.9,26.8002,Chromatogram,33.0,6954.3,"UV Chromatogram, 254 nm",,0.1,1.6531964036337727
