,Unnamed: 0,Product SMILES,empirical formula,monoisotopic peak,MA,Match,m_z,Retention times,Base Peaks,#,RT [min],Area,Int. Type,I,S/N,Chromatogram,Max. m/z,FWHM [min],Abundance
0,13,C=CCN(C(=O)c1ccccc1)C(C(=O)NC(C)(C)C)c1ccc(CO)o1,C21H26N2O4,371.1970823251201,17,True,371.1985,11.49463,127121.0,8,11.5,9.258,Chromatogram,14.0,3631.2,"UV Chromatogram, 254 nm",,0.0,1.0856333465099373
1,12,C=CCN(C(=O)c1ccccc1)C(C(=O)NC1CCCCC1)c1ccc(CO)o1,C23H28N2O4,397.21273238958,18,True,397.2166,12.39337,81437.0,12,12.4,11.7641,Chromatogram,8.0,3458.6,"UV Chromatogram, 254 nm",,0.1,1.3795095324775926
2,7,C=CCN(C(=O)c1ccccc1)C(/C=C/c1ccccc1)C(=O)NC(C)(C)C,C24H28N2O2,377.22290315044006,15,True,377.2459,12.4849,101616.0,12,12.4,11.7641,Chromatogram,8.0,3458.6,"UV Chromatogram, 254 nm",,0.1,1.3795095324775926
3,17,C=CCN(C(=O)C1CCCCC1)C(C(=O)NC(C)(C)C)c1ccc(CO)o1,C21H32N2O4,377.2440325185,19,True,377.2459,12.4849,101616.0,12,12.4,11.7641,Chromatogram,8.0,3458.6,"UV Chromatogram, 254 nm",,0.1,1.3795095324775926
4,15,C=CCN(C(=O)CCCCC)C(C(=O)NC(C)(C)C)c1ccc(CO)o1,C20H32N2O4,365.2440325185,19,True,365.2488,13.02578,192200.0,15,13.1,6.3019,Chromatogram,7.0,1503.6,"UV Chromatogram, 254 nm",,0.1,0.7389882033237172
5,6,C=CCN(C(=O)c1ccccc1)C(/C=C/c1ccccc1)C(=O)NC1CCCCC1,C26H30N2O2,403.2385532149,16,True,403.2625,13.59997,76554.0,16,13.4,5.4193,Chromatogram,7.0,1119.8,"UV Chromatogram, 254 nm",,0.1,0.6354906885657057
6,14,C=CCN(C(=O)CCCCC)C(C(=O)NC1CCCCC1)c1ccc(CO)o1,C22H34N2O4,391.25968258296,17,True,391.2629,13.89953,119262.0,17,13.8,253.295,Chromatogram,75.0,69402.2,"UV Chromatogram, 254 nm",,0.1,29.70247337483631
7,37,CC(C)(C)NC(=O)C(c1ccc(CO)o1)N(Cc1ccccc1)C(=O)c1ccccc1,C25H28N2O4,421.21273238958,17,True,421.2151,15.40562,150378.0,19,15.4,29.8568,Chromatogram,18.0,9594.5,"UV Chromatogram, 254 nm",,0.0,3.501138226407204
8,36,O=C(NC1CCCCC1)C(c1ccc(CO)o1)N(Cc1ccccc1)C(=O)c1ccccc1,C27H30N2O4,447.22838245404,18,True,447.232,16.14622,135596.0,21,16.1,29.1007,Chromatogram,18.0,9131.7,"UV Chromatogram, 254 nm",,0.1,3.412474651845078
9,42,N#Cc1ccc(C(C(=O)NC2CCCCC2)N(Cc2ccccc2)C(=O)c2ccccc2)cc1,C29H29N3O2,452.2338021871,16,True,452.2384,18.45937,201185.0,30,18.4,260.8921,Chromatogram,98.0,79596.8,"UV Chromatogram, 254 nm",,0.1,30.59334236347
10,30,O=C(NC1CCCCC1)C(/C=C/c1ccccc1)N(Cc1ccccc1)C(=O)c1ccccc1,C30H32N2O2,453.25420327936,17,True,453.2573,19.7325,109191.0,38,19.7,151.1495,Chromatogram,95.0,60385.8,"UV Chromatogram, 254 nm",,0.0,17.724447775794314
11,34,O=C(NC1CCCCC1)C(/C=C/c1ccccc1)N(Cc1ccccc1)C(=O)C1CCCCC1,C30H38N2O2,459.30115347274,18,True,459.2682,19.8157,196034.0,39,19.8,28.5729,Chromatogram,51.0,13517.6,"UV Chromatogram, 254 nm",,0.0,3.3505825282451704
12,16,C=CCN(C(=O)C1CCCCC1)C(C(=O)NC1CCCCC1)c1ccc(CO)o1,C23H34N2O4,403.25968258296,18,True,403.298,20.32328,87817.0,43,20.3,24.4093,Chromatogram,31.0,8977.7,"UV Chromatogram, 254 nm",,0.0,2.862340683189135
13,40,O=C(NC1CCCCC1)C(c1ccc(CO)o1)N(Cc1ccccc1)C(=O)C1CCCCC1,C27H36N2O4,453.27533264742,19,True,453.3157,20.83087,171834.0,45,20.8,19.2263,Chromatogram,28.0,5863.8,"UV Chromatogram, 254 nm",,0.1,2.2545595603806445
