,Unnamed: 0,Product SMILES,empirical formula,monoisotopic peak,MA,Match,m_z,Retention times,Base Peaks,#,RT [min],Area,Int. Type,I,S/N,Chromatogram,Max. m/z,FWHM [min],Abundance
0,13,C=CCN(C(=O)c1ccccc1)C(C(=O)NC(C)(C)C)c1ccc(CO)o1,C21H26N2O4,371.1970823251201,17,True,371.2017,11.303,299535.0,14,11.3,6.6642,Chromatogram,15.0,2492.5,"UV Chromatogram, 254 nm",,0.0,1.1432829936783357
1,12,C=CCN(C(=O)c1ccccc1)C(C(=O)NC1CCCCC1)c1ccc(CO)o1,C23H28N2O4,397.21273238958,18,True,397.216,12.12682,182892.0,17,12.1,20.3211,Chromatogram,11.0,4963.6,"UV Chromatogram, 254 nm",,0.0,3.4862051023133804
2,7,C=CCN(C(=O)c1ccccc1)C(/C=C/c1ccccc1)C(=O)NC(C)(C)C,C24H28N2O2,377.22290315044006,15,True,377.2453,12.57615,130066.0,19,12.5,15.761,Chromatogram,10.0,3780.0,"UV Chromatogram, 254 nm",,0.1,2.703892929888696
3,17,C=CCN(C(=O)C1CCCCC1)C(C(=O)NC(C)(C)C)c1ccc(CO)o1,C21H32N2O4,377.2440325185,19,True,377.2453,12.57615,130066.0,19,12.5,15.761,Chromatogram,10.0,3780.0,"UV Chromatogram, 254 nm",,0.1,2.703892929888696
4,15,C=CCN(C(=O)CCCCC)C(C(=O)NC(C)(C)C)c1ccc(CO)o1,C20H32N2O4,365.2440325185,19,True,365.2483,13.11702,229646.0,23,13.2,8.2598,Chromatogram,7.0,1230.6,"UV Chromatogram, 254 nm",,0.1,1.4170176271997115
5,14,C=CCN(C(=O)CCCCC)C(C(=O)NC1CCCCC1)c1ccc(CO)o1,C22H34N2O4,391.25968258296,17,True,391.2623,13.99075,151644.0,26,13.9,309.6219,Chromatogram,87.0,62445.5,"UV Chromatogram, 254 nm",,0.1,53.117471375465065
6,37,CC(C)(C)NC(=O)C(c1ccc(CO)o1)N(Cc1ccccc1)C(=O)c1ccccc1,C25H28N2O4,421.21273238958,17,True,421.2145,15.4802,192328.0,32,15.5,47.4798,Chromatogram,22.0,11040.7,"UV Chromatogram, 254 nm",,0.1,8.145440995655688
7,36,O=C(NC1CCCCC1)C(c1ccc(CO)o1)N(Cc1ccccc1)C(=O)c1ccccc1,C27H30N2O4,447.22838245404,18,True,447.2314,16.20413,172965.0,34,16.2,42.8669,Chromatogram,23.0,10448.8,"UV Chromatogram, 254 nm",,0.1,7.3540706704045276
8,34,O=C(NC1CCCCC1)C(/C=C/c1ccccc1)N(Cc1ccccc1)C(=O)C1CCCCC1,C30H38N2O2,459.30115347274,18,True,459.2676,19.83208,280811.0,59,19.8,49.5464,Chromatogram,70.0,17644.5,"UV Chromatogram, 254 nm",,0.0,8.499978469731444
9,16,C=CCN(C(=O)C1CCCCC1)C(C(=O)NC1CCCCC1)c1ccc(CO)o1,C23H34N2O4,403.25968258296,18,True,403.2975,20.34798,128434.0,63,20.4,31.2471,Chromatogram,36.0,9063.1,"UV Chromatogram, 254 nm",,0.0,5.360625136065292
10,40,O=C(NC1CCCCC1)C(c1ccc(CO)o1)N(Cc1ccccc1)C(=O)C1CCCCC1,C27H36N2O4,453.27533264742,19,True,453.3152,20.7141,233308.0,65,20.6,35.3711,Chromatogram,34.0,8385.1,"UV Chromatogram, 254 nm",,0.0,6.068121769709159
